"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"BRITANNIA","EQ","22-Mar-2016","2,734.95","2,736.00","2,779.90","2,725.00","2,748.00","2,751.50","2,756.85","1,20,806","33,30,43,524.35","12,423","55,345","45.81"
"BRITANNIA","EQ","23-Mar-2016","2,751.50","2,755.15","2,762.10","2,705.30","2,720.45","2,725.30","2,723.92","1,08,483","29,54,99,121.30","16,181","65,522","60.40"
"BRITANNIA","EQ","28-Mar-2016","2,725.30","2,745.55","2,760.00","2,601.25","2,627.00","2,625.60","2,640.68","2,82,168","74,51,14,895.80","19,780","1,56,086","55.32"
"BRITANNIA","EQ","29-Mar-2016","2,625.60","2,615.00","2,625.00","2,519.05","2,588.40","2,583.15","2,579.14","1,95,997","50,55,04,505.50","17,345","1,03,180","52.64"
"BRITANNIA","EQ","30-Mar-2016","2,583.15","2,619.50","2,649.00","2,590.15","2,641.35","2,638.50","2,628.07","2,61,677","68,77,04,224.20","19,696","1,81,934","69.53"
"BRITANNIA","EQ","31-Mar-2016","2,638.50","2,625.40","2,704.90","2,615.50","2,692.00","2,686.50","2,678.36","3,46,463","92,79,52,090.90","29,688","2,49,345","71.97"
"BRITANNIA","EQ","01-Apr-2016","2,686.50","2,661.50","2,717.90","2,661.50","2,671.10","2,679.05","2,690.45","1,76,535","47,49,58,594.85","25,478","94,455","53.50"
"BRITANNIA","EQ","04-Apr-2016","2,679.05","2,700.00","2,703.55","2,650.00","2,659.40","2,659.20","2,662.70","1,84,402","49,10,07,117.10","9,366","1,50,058","81.38"
"BRITANNIA","EQ","05-Apr-2016","2,659.20","2,650.00","2,656.25","2,607.15","2,643.95","2,641.35","2,633.33","2,14,101","56,37,98,602.80","23,159","1,34,544","62.84"
"BRITANNIA","EQ","06-Apr-2016","2,641.35","2,641.35","2,723.95","2,641.35","2,710.00","2,707.20","2,680.24","4,83,650","1,29,62,96,471.55","24,580","3,84,432","79.49"
"BRITANNIA","EQ","07-Apr-2016","2,707.20","2,710.10","2,721.05","2,679.10","2,700.00","2,701.15","2,700.12","1,02,107","27,57,01,046.30","13,766","52,131","51.06"
"BRITANNIA","EQ","08-Apr-2016","2,701.15","2,691.00","2,715.50","2,681.10","2,681.10","2,686.80","2,700.52","1,38,356","37,36,32,531.25","6,639","1,07,746","77.88"
"BRITANNIA","EQ","11-Apr-2016","2,686.80","2,696.80","2,707.65","2,645.00","2,655.00","2,656.95","2,657.50","2,15,022","57,14,21,831.65","21,284","1,61,430","75.08"
"BRITANNIA","EQ","12-Apr-2016","2,656.95","2,685.00","2,738.40","2,650.20","2,705.00","2,705.75","2,688.69","3,52,945","94,89,60,931.60","25,617","2,58,314","73.19"
"BRITANNIA","EQ","13-Apr-2016","2,705.75","2,708.60","2,785.00","2,708.60","2,754.55","2,761.10","2,755.88","2,60,415","71,76,73,584.35","22,901","1,63,219","62.68"
"BRITANNIA","EQ","18-Apr-2016","2,761.10","2,770.50","2,856.00","2,770.50","2,854.00","2,850.65","2,831.04","3,08,621","87,37,19,933.50","23,702","1,97,878","64.12"
"BRITANNIA","EQ","20-Apr-2016","2,850.65","2,845.00","2,887.85","2,827.50","2,838.25","2,845.30","2,851.55","3,13,444","89,38,02,299.30","20,899","2,40,885","76.85"
